Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Momo_UI_Function,Firefox 68.0,Script for UI,2019-07-19 15:35:24,2019-07-19 15:36:44,"1m - 19,996s",PASSED
,,,,,,
Test Cases/Chat Widget UI,Firefox 68.0,Validate chat widget visible,2019-07-19 15:35:24,2019-07-19 15:35:53,"28,696s",PASSED
"openBrowser(""https://staging.vouch.sg/api/v1/merchants/bot/5c0899a0f82bb561b4eff079"")",Firefox 68.0,,2019-07-19 15:35:24,2019-07-19 15:35:35,"10,191s",PASSED
waitForPageLoad(5),Firefox 68.0,,2019-07-19 15:35:35,2019-07-19 15:35:35,"0,109s",PASSED
"waitForElementVisible(findTestObject(""Momo_UI/Chat Widget Visibility""), 5, STOP_ON_FAILURE)",Firefox 68.0,,2019-07-19 15:35:35,2019-07-19 15:35:41,"6,607s",PASSED
delay(3),Firefox 68.0,,2019-07-19 15:35:41,2019-07-19 15:35:44,"3,043s",PASSED
"takeScreenshot(""D:\Vouch\UI\1_chat_widget.png"")",Firefox 68.0,,2019-07-19 15:35:44,2019-07-19 15:35:45,"0,214s",PASSED
"waitForElementVisible(findTestObject(""Momo_UI/Close Button""), 0, STOP_ON_FAILURE)",Firefox 68.0,,2019-07-19 15:35:45,2019-07-19 15:35:45,"0,060s",PASSED
"click(findTestObject(""Momo_UI/Close Button""))",Firefox 68.0,,2019-07-19 15:35:45,2019-07-19 15:35:45,"0,282s",PASSED
"waitForElementNotVisible(findTestObject(""Momo_UI/Chat Widget Visibility""), 0)",Firefox 68.0,,2019-07-19 15:35:45,2019-07-19 15:35:46,"0,654s",PASSED
"verifyElementNotVisibleInViewport(findTestObject(""Momo_UI/Chat Widget Visibility""), 2)",Firefox 68.0,,2019-07-19 15:35:46,2019-07-19 15:35:46,"0,269s",PASSED
delay(2),Firefox 68.0,,2019-07-19 15:35:46,2019-07-19 15:35:48,"2,007s",PASSED
"takeScreenshot(""D:\Vouch\UI\2_closed_widget.png"")",Firefox 68.0,,2019-07-19 15:35:48,2019-07-19 15:35:48,"0,149s",PASSED
"click(findTestObject(""Momo_UI/Momo_Open""))",Firefox 68.0,,2019-07-19 15:35:48,2019-07-19 15:35:48,"0,242s",PASSED
delay(1),Firefox 68.0,,2019-07-19 15:35:48,2019-07-19 15:35:49,"1,009s",PASSED
"takeScreenshot(""D:\Vouch\UI\3_opened_widget.png"")",Firefox 68.0,,2019-07-19 15:35:49,2019-07-19 15:35:49,"0,123s",PASSED
closeBrowser(),Firefox 68.0,,2019-07-19 15:35:49,2019-07-19 15:35:53,"3,378s",PASSED
,,,,,,
Test Cases/Chat Widget Fucntion,Firefox 68.0,,2019-07-19 15:35:53,2019-07-19 15:36:44,"50,880s",PASSED
"openBrowser("""")",Firefox 68.0,,2019-07-19 15:35:53,2019-07-19 15:35:58,"5,074s",PASSED
"navigateToUrl(""https://staging.vouch.sg/api/v1/merchants/bot/5c0899a0f82bb561b4eff079"")",Firefox 68.0,,2019-07-19 15:35:58,2019-07-19 15:36:02,"3,358s",PASSED
"waitForElementClickable(findTestObject(""Momo_Function/btn_started""), 5)",Firefox 68.0,,2019-07-19 15:36:02,2019-07-19 15:36:03,"1,121s",PASSED
"waitForElementVisible(findTestObject(""Momo_UI/Chat Widget Visibility""), 5)",Firefox 68.0,,2019-07-19 15:36:03,2019-07-19 15:36:08,"5,113s",PASSED
delay(5),Firefox 68.0,,2019-07-19 15:36:08,2019-07-19 15:36:13,"5,006s",PASSED
"takeScreenshot(""D:\Vouch\Function\1_chat_widget.png"")",Firefox 68.0,,2019-07-19 15:36:13,2019-07-19 15:36:13,"0,186s",PASSED
"click(findTestObject(""Momo_Function/btn_started""))",Firefox 68.0,,2019-07-19 15:36:13,2019-07-19 15:36:13,"0,310s",PASSED
"takeScreenshot(""D:\Vouch\Function\2_click_start.png"")",Firefox 68.0,,2019-07-19 15:36:13,2019-07-19 15:36:13,"0,143s",PASSED
delay(5),Firefox 68.0,,2019-07-19 15:36:13,2019-07-19 15:36:18,"5,003s",PASSED
"takeScreenshot(""D:\Vouch\Function\3_start.png"")",Firefox 68.0,,2019-07-19 15:36:18,2019-07-19 15:36:19,"0,165s",PASSED
"setText(findTestObject(""Momo_Function/input_chat""), ""Amenities"")",Firefox 68.0,,2019-07-19 15:36:19,2019-07-19 15:36:19,"0,139s",PASSED
"takeScreenshot(""D:\Vouch\Function\4_set_text_amenities.png"")",Firefox 68.0,,2019-07-19 15:36:19,2019-07-19 15:36:19,"0,132s",PASSED
"click(findTestObject(""Momo_Function/btn_enter_inside""), STOP_ON_FAILURE)",Firefox 68.0,,2019-07-19 15:36:19,2019-07-19 15:36:19,"0,265s",PASSED
delay(4),Firefox 68.0,,2019-07-19 15:36:19,2019-07-19 15:36:23,"4,006s",PASSED
"takeScreenshot(""D:\Vouch\Function\5_result_amenities.png"")",Firefox 68.0,,2019-07-19 15:36:23,2019-07-19 15:36:23,"0,325s",PASSED
"click(findTestObject(""Momo_Function/more_info_gym""))",Firefox 68.0,,2019-07-19 15:36:23,2019-07-19 15:36:24,"0,253s",PASSED
"takeScreenshot(""D:\Vouch\Function\6_click_info_gym.png"")",Firefox 68.0,,2019-07-19 15:36:24,2019-07-19 15:36:24,"0,243s",PASSED
delay(2),Firefox 68.0,,2019-07-19 15:36:24,2019-07-19 15:36:26,"2,004s",PASSED
"takeScreenshot(""D:\Vouch\Function\7_info_gym.png"")",Firefox 68.0,,2019-07-19 15:36:26,2019-07-19 15:36:26,"0,236s",PASSED
"click(findTestObject(""Momo_Function/btn_back_menu""))",Firefox 68.0,,2019-07-19 15:36:26,2019-07-19 15:36:26,"0,247s",PASSED
"takeScreenshot(""D:\Vouch\Function\8_click_btn_back.png"")",Firefox 68.0,,2019-07-19 15:36:26,2019-07-19 15:36:27,"0,244s",PASSED
delay(3),Firefox 68.0,,2019-07-19 15:36:27,2019-07-19 15:36:30,"3,005s",PASSED
"click(findTestObject(""Momo_Function/more_info_pool""))",Firefox 68.0,,2019-07-19 15:36:30,2019-07-19 15:36:30,"0,302s",PASSED
"takeScreenshot(""D:\Vouch\Function\9_click_info_pool.png"")",Firefox 68.0,,2019-07-19 15:36:30,2019-07-19 15:36:30,"0,204s",PASSED
delay(3),Firefox 68.0,,2019-07-19 15:36:30,2019-07-19 15:36:33,"3,004s",PASSED
"takeScreenshot(""D:\Vouch\Function\10_info_pool.png"")",Firefox 68.0,,2019-07-19 15:36:33,2019-07-19 15:36:33,"0,169s",PASSED
"click(findTestObject(""Momo_Function/btn_Pool_Attire""))",Firefox 68.0,,2019-07-19 15:36:33,2019-07-19 15:36:34,"0,250s",PASSED
"takeScreenshot(""D:\Vouch\Function\11_click_pool_attire.png"")",Firefox 68.0,,2019-07-19 15:36:34,2019-07-19 15:36:34,"0,187s",PASSED
delay(2),Firefox 68.0,,2019-07-19 15:36:34,2019-07-19 15:36:36,"2,003s",PASSED
"takeScreenshot(""D:\Vouch\Function\12_pool_attire.png"")",Firefox 68.0,,2019-07-19 15:36:36,2019-07-19 15:36:36,"0,199s",PASSED
"click(findTestObject(""Momo_Function/btn_back_menu""))",Firefox 68.0,,2019-07-19 15:36:36,2019-07-19 15:36:36,"0,258s",PASSED
"takeScreenshot(""D:\Vouch\Function\13_click_back.png"")",Firefox 68.0,,2019-07-19 15:36:36,2019-07-19 15:36:36,"0,168s",PASSED
delay(3),Firefox 68.0,,2019-07-19 15:36:36,2019-07-19 15:36:39,"3,005s",PASSED
"takeScreenshot(""D:\Vouch\Function\14_menu_amenities.png"")",Firefox 68.0,,2019-07-19 15:36:39,2019-07-19 15:36:40,"0,264s",PASSED
closeBrowser(),Firefox 68.0,,2019-07-19 15:36:40,2019-07-19 15:36:44,"4,037s",PASSED
